Activity ID,Activity Name,WBS Code,Original Duration,Remaining Duration,Early Start,Early Finish,Late Start,Late Finish,Actual Start,Actual Finish,Total Float,% Complete,Critical,Constraint Type,Predecessors
A1000,Notice to Proceed,01,0,0,2025-01-06,2025-01-06,2025-01-06,2025-01-06,2025-01-06,2025-01-06,0,100,Yes,,
A1010,Mobilization & Site Setup,01,15,0,2025-01-07,2025-01-27,2025-01-07,2025-01-27,2025-01-07,2025-01-30,0,100,Yes,,A1000
A1020,Demolition & Abatement,02,20,0,2025-01-28,2025-02-24,2025-01-28,2025-02-24,2025-01-31,2025-03-03,0,100,Yes,,A1010
A1030,Excavation & Earthwork,31,18,0,2025-02-25,2025-03-20,2025-02-25,2025-03-20,2025-03-04,2025-03-28,0,100,Yes,,A1020
A1040,Underground Utilities,33,15,0,2025-03-10,2025-03-28,2025-03-21,2025-04-10,2025-03-15,2025-04-02,8,100,No,,A1030
A1050,Foundations - Area A,03,25,0,2025-03-21,2025-04-24,2025-03-21,2025-04-24,2025-03-29,2025-05-05,0,100,Yes,,A1030
A1060,Foundations - Area B,03,22,3,2025-04-01,2025-04-30,2025-04-14,2025-05-13,2025-04-08,,5,85,No,,A1030
A1070,Slab on Grade - Area A,03,12,0,2025-04-25,2025-05-12,2025-04-25,2025-05-12,2025-05-06,2025-05-23,0,100,Yes,,A1050
A1080,Slab on Grade - Area B,03,12,5,2025-05-01,2025-05-16,2025-05-14,2025-05-29,2025-05-15,,8,60,No,,A1060
A1090,Structural Steel Erection,05,35,5,2025-05-13,2025-06-30,2025-05-13,2025-06-30,2025-05-24,,0,85,Yes,,A1070
A1100,Metal Decking,05,15,4,2025-06-15,2025-07-03,2025-06-20,2025-07-10,2025-07-01,,3,70,No,,"A1090,A1080"
A1110,Concrete Topping,03,10,4,2025-07-04,2025-07-17,2025-07-11,2025-07-24,2025-07-15,,5,55,No,,A1100
A1120,Roofing,07,20,12,2025-07-01,2025-07-28,2025-07-01,2025-07-28,2025-07-20,,-2,25,Yes,,A1090
A1130,Exterior Wall Framing,06,18,10,2025-07-04,2025-07-29,2025-07-11,2025-08-05,2025-07-22,,3,40,No,,A1090
A1140,Window & Curtainwall Install,08,25,18,2025-07-15,2025-08-18,2025-07-22,2025-08-25,2025-08-01,,5,20,No,,A1130
A1150,Masonry Veneer,04,22,10,2025-07-20,2025-08-20,2025-07-25,2025-08-25,2025-08-05,,3,50,No,,A1130
A1160,Rough-in Plumbing,22,20,8,2025-07-18,2025-08-14,2025-07-25,2025-08-21,2025-08-01,,5,55,No,,A1110
A1170,Rough-in HVAC,23,25,12,2025-07-18,2025-08-21,2025-07-18,2025-08-21,2025-08-01,,-3,50,Yes,,A1110
A1180,Rough-in Electrical,26,22,10,2025-07-18,2025-08-18,2025-07-25,2025-08-25,2025-08-05,,5,50,No,,A1110
A1190,Fire Sprinkler Rough-in,21,15,6,2025-07-28,2025-08-15,2025-08-04,2025-08-22,2025-08-10,,5,55,No,,A1110
A1200,Interior Framing & Drywall,09,30,20,2025-08-15,2025-09-25,2025-08-15,2025-09-25,2025-08-25,,-5,30,Yes,,"A1160,A1170,A1180"
A1210,Ceiling Grid Rough-in,09,12,10,2025-09-01,2025-09-16,2025-09-15,2025-09-30,,,12,0,No,,A1200
A1220,MEP Above Ceiling,23,15,15,2025-09-01,2025-09-19,2025-09-08,2025-09-26,,,-3,0,Yes,,A1200
A1230,Taping & Finishing,09,15,15,2025-09-26,2025-10-16,2025-09-26,2025-10-16,,,0,0,Yes,,A1200
A1240,Painting,09,18,18,2025-10-17,2025-11-11,2025-10-17,2025-11-11,,,0,0,Yes,,A1230
A1250,Flooring Installation,09,15,15,2025-11-01,2025-11-21,2025-11-05,2025-11-25,,,4,0,No,,A1240
A1260,Ceiling Tile Installation,09,10,10,2025-11-10,2025-11-21,2025-11-14,2025-11-27,,,4,0,No,,"A1210,A1220"
A1270,MEP Trim & Fixtures,22,12,12,2025-11-12,2025-11-27,2025-11-12,2025-11-27,,,0,0,Yes,,"A1240,A1260"
A1280,Elevator Installation,14,45,30,2025-07-01,2025-09-01,2025-07-15,2025-09-15,2025-07-20,,12,35,No,,A1090
A1290,Fire Alarm & Security,28,15,15,2025-11-12,2025-12-02,2025-11-19,2025-12-09,,,5,0,No,,A1270
A1300,Final Electrical Trim,26,10,10,2025-11-28,2025-12-11,2025-11-28,2025-12-11,,,0,0,Yes,,A1270
A1310,Specialties & Accessories,10,8,8,2025-11-22,2025-12-03,2025-11-28,2025-12-09,,,4,0,No,,A1250
A1320,Punchlist & QC,01,15,15,2025-12-04,2025-12-24,2025-12-04,2025-12-24,,,0,0,Yes,Must Finish On,A1300
A1330,Final Inspections,01,5,5,2025-12-25,2025-12-31,2025-12-25,2025-12-31,,,0,0,Yes,,A1320
A1340,Substantial Completion,01,0,0,2025-12-31,2025-12-31,2025-12-31,2025-12-31,,,0,0,Yes,,A1330
A1350,Paving & Sitework,32,20,18,2025-10-01,2025-10-28,2025-10-08,2025-11-04,2025-10-10,,5,10,No,,A1150
A1360,Landscaping,32,15,15,2025-10-29,2025-11-18,2025-11-05,2025-11-25,,,5,0,No,,A1350
A1370,Commissioning - HVAC,23,10,10,2025-12-01,2025-12-14,2025-12-01,2025-12-14,,,-2,0,Yes,,A1270
A1380,Commissioning - Electrical,26,8,8,2025-12-01,2025-12-10,2025-12-05,2025-12-14,,,2,0,No,,A1300
A1390,Owner Training,01,5,5,2025-12-15,2025-12-19,2025-12-15,2025-12-19,,,0,0,Yes,,"A1370,A1380"
