Number,Title,Status,Change Order Type,Created Date,Approved Date,Amount,Description,Cost Code,Vendor,Schedule Impact (Days)
PCO-001,Revised Foundation Design - Soil Conditions,Approved,Design Error,15-Jul-2025,28-Jul-2025,185000,Geotechnical report identified expansive clay not accounted for in original design. Required deeper foundations and soil stabilization.,03-1000,Consolidated Concrete LLC,8
PCO-002,Structural Steel Connection Redesign,Approved,Design Error,02-Aug-2025,20-Aug-2025,142000,Original connection details did not meet current seismic requirements per updated IBC. Required moment frame connections at 14 locations.,05-1000,Ironworks Steel Inc,5
PCO-003,Underground Utility Conflict Resolution,Approved,Unforeseen,18-Aug-2025,05-Sep-2025,65000,Existing 12-inch storm drain not shown on survey conflicted with new sanitary sewer routing. Required reroute and additional manholes.,33-1000,Metro Utilities Corp,3
PCO-004,Added Fire Rated Shaft Walls,Approved,Design Error,12-Sep-2025,01-Oct-2025,95000,Code review identified missing 2-hour fire rated shaft walls at 6 MEP penetration locations per NFPA 101. Not in original documents.,09-1000,Interior Systems Inc,0
PCO-005,Structural Steel - Added Bracing per RFI Response,Approved,Design Error,28-Sep-2025,15-Oct-2025,178000,Structural engineer added diagonal bracing at 8 bay locations in response to RFI-042. Original design underestimated lateral loads.,05-1000,Ironworks Steel Inc,7
PCO-006,HVAC System Upsizing - Operating Room Suite,Approved,Design Error,15-Oct-2025,02-Nov-2025,225000,Mechanical engineer acknowledged undersized AHU for OR suite. Required larger equipment and additional ductwork to meet ASHRAE 170.,23-1000,ProAir Mechanical,5
PCO-007,Revised Plumbing Risers - Coordination Conflict,Approved,Design Error,01-Nov-2025,20-Nov-2025,89000,BIM coordination revealed plumbing risers conflicting with structural beams at 4 floor penetrations. Required rerouting and additional supports.,22-1000,Allied Plumbing,3
PCO-008,Additional Concrete Testing - Failed Cylinder Breaks,Approved,Unforeseen,12-Nov-2025,28-Nov-2025,18000,Multiple cylinder breaks below specified 4000 PSI required additional coring and testing per structural engineer directive.,03-4000,ABC Testing Labs,0
PCO-009,Electrical Service Upgrade,Pending,Design Error,05-Dec-2025,, 165000,Electrical load calculations show original 2000A service undersized. Utility requires upgraded transformer and switchgear. Awaiting final pricing.,26-1000,Volta Electric Inc,10
PCO-010,Fire Suppression Redesign - MRI Suite,Approved,Design Error,18-Dec-2025,08-Jan-2026,85000,Original design specified wet sprinkler in MRI suite. Required pre-action system per NFPA 13 and manufacturer requirements.,21-1000,National Fire Protection,2
PCO-011,Revised Concrete Mix Design - Winter Operations,Pending,Unforeseen,10-Jan-2026,,42000,Extended cold weather required heated enclosures and high-early strength concrete mix. Additional curing costs and accelerators.,03-1000,Consolidated Concrete LLC,0
PCO-012,HVAC Controls Integration - Nurse Call System,Pending,Design Error,22-Jan-2026,,95000,Original specifications did not include integration between BAS and nurse call system required by hospital operations. Additional control points and programming.,23-2000,BuildTech Controls,3
PCO-013,Structural Steel - Embed Plate Revisions,Approved,Design Error,05-Feb-2026,25-Feb-2026,68000,Embed plates for precast attachment revised after panel shop drawings rejected original locations. 22 plates affected.,05-1000,Ironworks Steel Inc,4
PCO-014,Plumbing - Medical Gas System Additions,Pending,Design Error,18-Feb-2026,,125000,Facilities team identified 8 patient rooms missing medical gas outlets per updated departmental requirements. Added during construction.,22-1000,Allied Plumbing,5
PCO-015,Interior Glass Partition Upgrade,Draft,Owner Change,02-Mar-2026,,85000,Owner requests frameless glass partitions at main lobby and administrative suite in lieu of specified drywall partitions.,08-1000,Architectural Glass Co,0
PCO-016,Waterproofing Remediation - Foundation Wall,Pending,Unforeseen,10-Mar-2026,,72000,Water infiltration at north foundation wall requires additional waterproofing membrane and drainage mat installation.,07-1000,Waterproof Solutions Inc,3
PCO-017,Electrical Panel Relocation - Coordination,Pending,Design Error,18-Mar-2026,,48000,Three electrical panels conflict with architectural casework locations identified during Level 2 rough-in. Requires relocation and additional conduit runs.,26-1000,Volta Electric Inc,2
PCO-018,Added Seismic Bracing - Mechanical Equipment,Draft,Design Error,25-Mar-2026,,55000,Seismic analysis identified 12 pieces of mechanical equipment requiring additional seismic restraint per IBC 2021.,23-1000,ProAir Mechanical,0
